name,code

Nanggroe Aceh Darussalam,id-ac

Sumatera Utara,id-su

Sumatera Barat,id-sb

Riau,id-ri

Jambi,id-ja

Sumatera Selatan,id-sl

Bengkulu,id-be

Lampung,id-1024

Kep. Bangka Belitung,id-bb

Kep. Riau,id-kr

DKI Jakarta,id-jk

Jawa Barat,id-jr

Jawa Tengah,id-jt

DI Yogyakarta,id-yo

Jawa Timur,id-ji

Banten,id-bt

Bali,id-ba

Nusa Tenggara Barat,id-nb

Nusa Tenggara Timur,id-nt

Kalimantan Barat,id-kb

Kalimantan Tengah,id-kt

Kalimantan Selatan,id-ks

Kalimantan Timur,id-ki

Sulawesi Utara,id-sw

Sulawesi Tengah,id-st

Sulawesi Selatan,id-se

Sulawesi Tenggara,id-sg

Gorontalo,id-go

Sulawesi Barat,id-sr

Maluku,id-ma

Maluku Utara,id-la

Papua,id-pa

Papua Barat,id-ib